h_t,c_t
0.1536959,0.5977953
0.34566152,13.687507
-0.16843161,-3.228266
-0.1047104,-0.53653455
-0.57301396,-1.1193033
0.26273784,1.6482165
-0.053256456,-0.34890324
-0.24596663,-2.3661792
0.010543859,0.048195954
-0.006508373,-0.0979699
0.022129519,2.768485
0.5791072,5.1234913
-0.35121858,-1.9823049
-0.014008848,-0.08184317
0.17693731,0.30314082
-0.75739604,-2.006318
-0.26804605,-0.6875008
-0.21218267,-0.3091483
0.3962413,0.59882385
-0.036771704,-2.008611
0.003212482,0.03500252
0.3082906,4.7202616
0.3171625,7.4866033
-0.20165843,-10.195228
0.6830855,8.287675
-0.010220701,-0.12318495
-0.043027107,-0.5066032
-0.33712575,-34.11917
-0.30045974,-19.456871
0.13517518,5.1954875
-0.008104391,-0.069324456
0.09392611,0.4168161
-0.13266622,-5.3705645
0.004889662,0.2060275
-0.000135662,-0.000607314
-0.31847715,-0.437886
-0.20750743,-15.356831
-0.23644102,-0.33845335
-0.18697523,-0.46342096
0.006417224,0.03174661
-0.009578296,-0.08877465
0.5017063,14.311281
-0.19963627,-1.5812411
-0.007490416,-0.26415315
0.011976934,0.43083748
0.014015907,0.09131075
0.2011106,27.510174
0.48911452,4.35671
0.08763203,2.643056
-0.006044372,-0.18535723
-0.45652187,-3.4137676
-0.006026973,-0.038571917
-0.30038968,-1.6894548
-0.21969596,-5.375217
-0.4489063,-21.319094
0.35732156,25.704021
0.34422526,0.5003569
-0.33628726,-7.381399
0.15154575,0.9492416
0.5321333,37.394684
-0.1178656,-10.278872
0.590509,0.9518527
-0.63163435,-39.448425
0.53634644,29.58782
